Clave del municipio;Municipio;pobalimentaria1990
10029;San Luis del Cordero;23,6
10030;San Pedro del Gallo;32,7
10031;Santa Clara;30,1
10032;Santiago Papasquiaro;32,2
10033;Súchil;29,6
10034;Tamazula;72,6
10035;Tepehuanes;29,7
10036;Tlahualilo;18,4
10037;Topia;57,6
10038;Vicente Guerrero;12,0
10039;Nuevo Ideal;24,4
11001;Abasolo;41,0
11002;Acámbaro;27,6
11003;San Miguel de Allende;45,9
11004;Apaseo el Alto;42,3
11005;Apaseo el Grande;35,4
11006;Atarjea;67,3
11007;Celaya;17,5
11008;Manuel Doblado;37,9
11009;Comonfort;46,1
11010;Coroneo;38,2
11011;Cortazar;31,1
11012;Cuerámaro;29,7
11013;Doctor Mora;56,6
11014;Dolores Hidalgo Cuna de la Independencia Nal.;50,0
11015;Guanajuato;22,1
11016;Huanímaro;29,0
11017;Irapuato;22,9
11018;Jaral del Progreso;24,6
11019;Jerécuaro;47,9
11020;León;18,4
11021;Moroleón;17,9
11022;Ocampo;46,1
11023;Pénjamo;35,0
11024;Pueblo Nuevo;28,5
11025;Purísima del Rincón;37,4
11026;Romita;42,7
11027;Salamanca;19,0
11028;Salvatierra;27,9
11029;San Diego de la Unión;51,9
11030;San Felipe;55,5
11031;San Francisco del Rincón;31,1
11032;San José Iturbide;39,7
11033;San Luis de la Paz;53,5
11034;Santa Catarina;60,5
11035;Santa Cruz de Juventino Rosas;43,7
11036;Santiago Maravatío;31,6
11037;Silao;39,7
11038;Tarandacuao;26,8
11039;Tarimoro;36,5
11040;Tierra Blanca;64,1
11041;Uriangato;26,6
11042;Valle de Santiago;33,9
11043;Victoria;55,0
11044;Villagrán;31,1
11045;Xichú;72,9
11046;Yuriria;37,0
12001;Acapulco de Juárez;20,7
12002;Ahuacuotzingo;68,3
12003;Ajuchitlán del Progreso;60,8
12004;Alcozauca de Guerrero;74,6
12005;Alpoyeca;47,5
12006;Apaxtla;38,8
12007;Arcelia;36,8
12008;Atenango del Río;55,0
12009;Atlamajalcingo del Monte;70,8
12010;Atlixtac;76,5
12011;Atoyac de Álvarez;40,5
12012;Ayutla de los Libres;61,7
12013;Azoyú;55,7
12014;Benito Juárez;18,5
12015;Buenavista de Cuéllar;21,6
12016;Coahuayutla de José María Izazaga;66,2
12017;Cocula;39,0
12018;Copala;43,3
12019;Copalillo;74,0
12020;Copanatoyac;74,8
12021;Coyuca de Benítez;38,6
12022;Coyuca de Catalán;48,8
12023;Cuajinicuilapa;48,9
12024;Cualác;56,5
12025;Cuautepec;64,0
12026;Cuetzala del Progreso;47,9
12027;Cutzamala de Pinzón;50,2
12028;Chilapa de Álvarez;64,1
12029;Chilpancingo de los Bravo;20,2
12030;Florencio Villarreal;48,2
12031;General Canuto A. Neri;60,0
12032;General Heliodoro Castillo;65,9
12033;Huamuxtitlán;42,4
12034;Huitzuco de los Figueroa;38,7
12035;Iguala de la Independencia;20,8
12036;Igualapa;62,7
12037;Ixcateopan de Cuauhtémoc;50,2
12038;José Azueta;23,8
12039;Juan R. Escudero;35,3
12040;Leonardo Bravo;47,4
12041;Malinaltepec;69,9
12042;Mártir de Cuilapan;64,2
12043;Metlatónoc;82,0
12044;Mochitlán;43,3
12045;Olinalá ;65,0
12046;Ometepec;58,3
12047;Pedro Ascencio Alquisiras;66,2
12048;Petatlán;40,1
12049;Pilcaya;37,6
12050;Pungarabato;30,2
12051;Quechultenango;64,8
12052;San Luis Acatlán;67,0
12053;San Marcos;50,9
12054;San Miguel Totolapan;67,8
12055;Taxco de Alarcón;33,4
12056;Tecoanapa;52,3
12057;Técpan de Galeana;27,4
12058;Teloloapan;48,3
12059;Tepecoacuilco de Trujano;45,6
12060;Tetipac;52,3
12061;Tixtla de Guerrero;37,1
12062;Tlacoachistlahuaca;77,9
12063;Tlacoapa;70,0
12064;Tlalchapa;48,6
12065;Tlalixtaquilla de Maldonado;54,6
12066;Tlapa de Comonfort;56,8
12067;Tlapehuala;43,0
12068;La Unión de Isidoro Montes de Oca;42,4
12069;Xalpatláhuac;78,3
12070;Xochihuehuetlán;60,8
12071;Xochistlahuaca;68,2
12072;Zapotitlán Tablas;70,8
12073;Zirándaro;58,6
12074;Zitlala;67,4
12075;Eduardo Neri;50,9
12076;Acatepec;82,4
12077;Marquelia;47,9
12078;Cochoapa el Grande;91,5
12079;José Joaquín de Herrera;85,8
12080;Juchitán;60,5
12081;Iliatenco;68,1
13001;Acatlán;48,6
13002;Acaxochitlán;58,9
13003;Actopan;28,1
13004;Agua Blanca de Iturbide;47,8
13005;Ajacuba;20,8
13006;Alfajayucan;40,2
13007;Almoloya;33,7
13008;Apan;24,3
13009;El Arenal;37,8
13010;Atitalaquia;11,6
13011;Atlapexco;66,0
13012;Atotonilco el Grande;40,0
13013;Atotonilco de Tula;17,3
13014;Calnali;47,5
13015;Cardonal;48,9
13016;Cuautepec de Hinojosa;31,2
13017;Chapantongo;35,8
13018;Chapulhuacán;56,3
13019;Chilcuautla;44,9
13020;Eloxochitlán;38,9
13021;Emiliano Zapata;11,2
13022;Epazoyucan;23,2
13023;Francisco I. Madero;25,4
13024;Huasca de Ocampo;44,2
13025;Huautla;52,3
13026;Huazalingo;58,9
13027;Huehuetla;69,2
13028;Huejutla de Reyes;60,2
13029;Huichapan;27,6
13030;Ixmiquilpan;36,0
13031;Jacala de Ledezma;39,0
13032;Jaltocán;53,3
13033;Juárez Hidalgo;41,7
13034;Lolotla;49,6
13035;Metepec;37,2
13036;San Agustín Metzquititlán;32,1
13037;Metztitlán;40,7
13038;Mineral del Chico;47,8
13039;Mineral del Monte;18,1
13040;La Misión;63,1
13041;Mixquiahuala de Juárez;27,6
13042;Molango de Escamilla;42,0
13043;Nicolás Flores;58,7
13044;Nopala de Villagrán;31,9
13045;Omitlán de Juárez;36,4
13046;San Felipe Orizatlán;63,7
13047;Pacula;59,5
13048;Pachuca de Soto;8,7
13049;Pisaflores;66,1
13050;Progreso de Obregón;16,8
13051;Mineral de la Reforma;11,8
13052;San Agustín Tlaxiaca;27,1
13053;San Bartolo Tutotepec;67,9
13054;San Salvador;30,4
13055;Santiago de Anaya;35,5
13056;Santiago Tulantepec de Lugo Guerrero;20,3
13057;Singuilucan;44,2
13058;Tasquillo;41,8
13059;Tecozautla;38,2
13060;Tenango de Doria;56,6
13061;Tepeapulco;8,1
13062;Tepehuacán de Guerrero;68,3
13063;Tepeji del Río de Ocampo;27,6
13064;Tepetitlán;22,9
13065;Tetepango;16,8
13066;Villa de Tezontepec;23,4
13067;Tezontepec de Aldama;24,2
13068;Tianguistengo;53,0
13069;Tizayuca;15,8
13070;Tlahuelilpan;18,0
13071;Tlahuiltepa;52,7
13072;Tlanalapa;8,4
13073;Tlanchinol;58,8
13074;Tlaxcoapan;18,5
13075;Tolcayuca;20,4
13076;Tula de Allende;14,3
13077;Tulancingo de Bravo;21,0
13078;Xochiatipan;68,7
13079;Xochicoatlán;42,4
13080;Yahualica;66,3
13081;Zacualtipán de Ángeles;26,6
13082;Zapotlán de Juárez;18,5
13083;Zempoala;24,8
13084;Zimapán;45,1
14001;Acatic;38,0
14002;Acatlán de Juárez;10,6
14003;Ahualulco de Mercado;11,2
14004;Amacueca;22,5
14005;Amatitán;20,9
14006;Ameca;21,8
14007;San Juanito de Escobedo;18,1
14008;Arandas;39,3
14009;El Arenal;17,7
14010;Atemajac de Brizuela;47,5
14011;Atengo;32,7
14012;Atenguillo;21,4
14013;Atotonilco el Alto;32,8
14014;Atoyac;21,5
14015;Autlán de Navarro;21,8
14016;Ayotlán;28,5
14017;Ayutla;27,0
14018;La Barca;26,0
14019;Bolaños;44,6
14020;Cabo Corrientes;41,2
14021;Casimiro Castillo;19,3
14022;Cihuatlán;17,4
14023;Zapotlán el Grande;14,0
14024;Cocula;18,7
14025;Colotlán;20,4
14026;Concepción de Buenos Aires;21,5
14027;Cuautitlán de García Barragán;42,9
14028;Cuautla;31,1
14029;Cuquío;41,6
14030;Chapala;18,4
14031;Chimaltitán;46,8
14032;Chiquilistlán;38,0
14033;Degollado;30,7
14034;Ejutla;24,1
14035;Encarnación de Díaz;37,7
14036;Etzatlán;16,5
14037;El Grullo;25,5
14038;Guachinango;30,6
14039;Guadalajara;9,2
14040;Hostotipaquillo;32,0
14041;Huejúcar;21,0
14042;Huejuquilla el Alto;41,4
14043;La Huerta;25,3
14044;Ixtlahuacán de los Membrillos;17,7
14045;Ixtlahuacán del Río;35,8
14046;Jalostotitlán;38,4
14047;Jamay;15,5
14048;Jesús María;40,1
14049;Jilotlán de los Dolores;52,4
14050;Jocotepec;23,2
14051;Juanacatlán;15,6
14052;Juchitlán;21,0
14053;Lagos de Moreno;37,6
14054;El Limón;12,4
14055;Magdalena;17,1
14056;Santa María del Oro;44,5
14057;La Manzanilla de la Paz;18,2
14058;Mascota;17,3
14059;Mazamitla;21,6
14060;Mexticacán;26,2
14061;Mezquitic;56,8
14062;Mixtlán;31,3
14063;Ocotlán;16,0
14064;Ojuelos de Jalisco;35,7
14065;Pihuamo;21,4
14066;Poncitlán;22,1
14067;Puerto Vallarta;9,2
14068;Villa Purificación;34,0
14069;Quitupan;32,3
14070;El Salto;22,6
14071;San Cristóbal de la Barranca;54,3
14072;San Diego de Alejandría;38,8
14073;San Juan de los Lagos;34,7
14074;San Julián;25,2
14075;San Marcos;19,9
14076;San Martín de Bolaños;39,2
14077;San Martín Hidalgo;14,2
14078;San Miguel el Alto;39,7
14079;Gómez Farías;24,1
14080;San Sebastián del Oeste;35,3
14081;Santa María de los Ángeles;24,3
14082;Sayula;22,6
14083;Tala;23,1
14084;Talpa de Allende;27,6
14085;Tamazula de Gordiano;23,8
14086;Tapalpa;41,1
14087;Tecalitlán;21,2
14088;Tecolotlán;17,8
14089;Techaluta de Montenegro;25,1
14090;Tenamaxtlán;18,3
14091;Teocaltiche;39,9
14092;Teocuitatlán de Corona;22,5
14093;Tepatitlán de Morelos;31,4
14094;Tequila;34,1
14095;Teuchitlán;16,2
14096;Tizapán el Alto;20,1
14097;Tlajomulco de Zúñiga;24,5
14098;Tlaquepaque;26,8
14099;Tolimán;36,7
14100;Tomatlán;34,0
14101;Tonalá;31,0
14102;Tonaya;26,1
14103;Tonila;17,2
14104;Totatiche;31,8
14105;Tototlán;21,5
14106;Tuxcacuesco;39,9
14107;Tuxcueca;22,2
14108;Tuxpan;22,0
14109;Unión de San Antonio;37,9
14110;Unión de Tula;14,1
14111;Valle de Guadalupe;26,7
14112;Valle de Juárez;17,0
14113;San Gabriel;27,1
14114;Villa Corona;15,3
14115;Villa Guerrero;36,8
14116;Villa Hidalgo;22,7
14117;Cañadas de Obregón;34,2
14118;Yahualica de González Gallo;18,2
14119;Zacoalco de Torres;17,4
14120;Zapopan;10,4
14121;Zapotiltic;22,3
14122;Zapotitlán de Vadillo;39,3
14123;Zapotlán del Rey;30,3
14124;Zapotlanejo;32,1
14125;San Ignacio Cerro Gordo;ND
15001;Acambay;45,1
15002;Acolman;16,3
15003;Aculco;41,3
15004;Almoloya de Alquisiras;41,0
15005;Almoloya de Juárez;40,5
15006;Almoloya del Río;16,1
15007;Amanalco;51,5
15008;Amatepec;50,7
15009;Amecameca;21,8
15010;Apaxco;18,0
15011;Atenco;12,7
15012;Atizapán;20,2
15013;Atizapán de Zaragoza;10,5
15014;Atlacomulco;27,3
15015;Atlautla;30,8
15016;Axapusco;26,1
15017;Ayapango;22,9
15018;Calimaya;18,1
15019;Capulhuac;12,4
15020;Coacalco de Berriozábal;3,2
15021;Coatepec Harinas;44,2
15022;Cocotitlán;15,1
15023;Coyotepec;26,3
15024;Cuautitlán;9,7
15025;Chalco;29,5
15026;Chapa de Mota;51,2
15027;Chapultepec;18,6
15028;Chiautla;15,4
15029;Chicoloapan;21,5
15030;Chiconcuac;10,1
15031;Chimalhuacán;28,3
15032;Donato Guerra;57,1
15033;Ecatepec de Morelos;12,0
15034;Ecatzingo;41,2
15035;Huehuetoca;15,3
15036;Hueypoxtla;30,1
15037;Huixquilucan;12,9
15038;Isidro Fabela;28,9
15039;Ixtapaluca;22,4
15040;Ixtapan de la Sal;27,3
15041;Ixtapan del Oro;48,9
15042;Ixtlahuaca;37,7
15043;Xalatlaco;23,4
15044;Jaltenco;6,7
15045;Jilotepec;37,1
15046;Jilotzingo;22,9
15047;Jiquipilco;39,6
15048;Jocotitlán;29,3
15049;Joquicingo;27,9
15050;Juchitepec;22,8
15051;Lerma;15,6
15052;Malinalco;36,2
15053;Melchor Ocampo;19,3
15054;Metepec;5,9
15055;Mexicaltzingo;12,1
15056;Morelos;45,8
15057;Naucalpan de Juárez;9,2
15058;Nezahualcóyotl;10,7
15059;Nextlalpan;14,6
15060;Nicolás Romero;19,7
15061;Nopaltepec;22,1
15062;Ocoyoacac;19,2
15063;Ocuilan;34,7
15064;El Oro;38,1
15065;Otumba;24,3
15066;Otzoloapan;42,0
15067;Otzolotepec;29,5
15068;Ozumba;19,7
15069;Papalotla;14,8
15070;La Paz;17,8
15071;Polotitlán;26,8
15072;Rayón;16,7
15073;San Antonio la Isla;18,8
15074;San Felipe del Progreso;58,7
15075;San Martín de las Pirámides;15,4
15076;San Mateo Atenco;26,3
15077;San Simón de Guerrero;46,2
15078;Santo Tomás;38,2
15079;Soyaniquilpan de Juárez;30,6
15080;Sultepec;55,4
15081;Tecámac;13,8
15082;Tejupilco;52,9
15083;Temamatla;14,6
15084;Temascalapa;23,7
15085;Temascalcingo;42,8
15086;Temascaltepec;47,3
15087;Temoaya;38,3
15088;Tenancingo;32,2
15089;Tenango del Aire;19,7
15090;Tenango del Valle;20,7
15091;Teoloyucán;25,1
15092;Teotihuacán;13,9
15093;Tepetlaoxtoc;19,4
15094;Tepetlixpa;22,5
15095;Tepotzotlán;18,2
15096;Tequixquiac;20,1
15097;Texcaltitlán;44,0
15098;Texcalyacac;17,4
15099;Texcoco;12,7
15100;Tezoyuca;13,7
15101;Tianguistenco;21,5
15102;Timilpan;35,1
15103;Tlalmanalco;12,3
15104;Tlalnepantla de Baz;9,3
15105;Tlatlaya;49,7
15106;Toluca;14,5
15107;Tonatico;19,8
15108;Tultepec;14,2
15109;Tultitlán;11,2
15110;Valle de Bravo;27,1
15111;Villa de Allende;50,6
15112;Villa del Carbón;42,2
15113;Villa Guerrero;38,6
15114;Villa Victoria;58,5
15115;Xonacatlán;18,4
15116;Zacazonapan;36,1
15117;Zacualpan;50,0
15118;Zinacantepec;29,4
15119;Zumpahuacán;51,6
15120;Zumpango;18,6
15121;Cuautitlán Izcalli;5,6
15122;Valle de Chalco Solidaridad;24,3
15123;Luvianos;45,3
15124;San José del Rincón;58,9
15125;Tonanitla;13,7
16001;Acuitzio;32,0
16002;Aguililla;31,1
16003;Álvaro Obregón;28,1
16004;Angamacutiro;26,0
16005;Angangueo;33,6
16006;Apatzingán;29,6
16007;Aporo;37,6
16008;Aquila;56,5
16009;Ario;33,2
16010;Arteaga;38,6
16011;Briseñas;19,7
16012;Buenavista;31,1
16013;Carácuaro;55,4
16014;Coahuayana;27,9
16015;Coalcomán de Vázquez Pallares;35,5
16016;Coeneo;24,5
16017;Contepec;43,7
16018;Copándaro;33,1
16019;Cotija;22,6
16020;Cuitzeo;23,9
16021;Charapan;36,1
16022;Charo;33,3
16023;Chavinda;22,3
16024;Cherán;22,6
16025;Chilchota;28,4
16026;Chinicuila;51,4
16027;Chucándiro;37,6
16028;Churintzio;20,5
16029;Churumuco;51,2
16030;Ecuandureo;21,8
16031;Epitacio Huerta;44,3
16032;Erongarícuaro;23,6
16033;Gabriel Zamora;32,2
16034;Hidalgo;38,4
16035;La Huacana;47,4
16036;Huandacareo;21,3
16037;Huaniqueo;23,3
16038;Huetamo;47,9
16039;Huiramba;25,0
16040;Indaparapeo;29,9
16041;Irimbo;33,2
16042;Ixtlán;26,5
16043;Jacona;27,2
16044;Jiménez;22,3
16045;Jiquilpan;23,4
16046;Juárez;31,0
16047;Jungapeo;36,3
16048;Lagunillas;27,4
16049;Madero;45,9
16050;Maravatío;47,2
16051;Marcos Castellanos;13,7
16052;Lázaro Cárdenas;14,4
16053;Morelia;11,6
16054;Morelos;27,4
16055;Múgica;36,4
16056;Nahuatzen;32,9
16057;Nocupétaro;58,4
16058;Nuevo Parangaricutiro;22,8
16059;Nuevo Urecho;45,4
16060;Numarán;18,7
16061;Ocampo;34,0
16062;Pajacuarán;27,8
16063;Panindícuaro;33,0
16064;Parácuaro;43,1
16065;Paracho;23,4
16066;Pátzcuaro;28,0
16067;Penjamillo;23,6
16068;Peribán;19,5
16069;La Piedad;23,0
16070;Purépero;10,4
16071;Puruándiro;34,8
16072;Queréndaro;26,0
16073;Quiroga;23,5
16074;Cojumatlán de Régules;22,9
16075;Los Reyes;27,5
16076;Sahuayo;22,6
16077;San Lucas;42,2
16078;Santa Ana Maya;25,3
16079;Salvador Escalante;36,0
16080;Senguio;50,6
16081;Susupuato;53,0
16082;Tacámbaro;39,8
16083;Tancítaro;43,8
16084;Tangamandapio;34,4
16085;Tangancícuaro;32,9
16086;Tanhuato;22,3
16087;Taretan;27,1
16088;Tarímbaro;30,7
16089;Tepalcatepec;25,6
16090;Tingambato;23,2
16091;Tingüindín;22,4
16092;Tiquicheo de Nicolás Romero;59,0
16093;Tlalpujahua;38,8
16094;Tlazazalca;19,9
16095;Tocumbo;17,1
16096;Tumbiscatío;45,0
16097;Turicato;47,6
16098;Tuxpan;31,0
16099;Tuzantla;48,4
16100;Tzintzuntzan;32,9
16101;Tzitzio;50,6
16102;Uruapan;19,5
16103;Venustiano Carranza;18,9
16104;Villamar;28,9
16105;Vista Hermosa;19,1
16106;Yurécuaro;30,2
16107;Zacapu;17,0
16108;Zamora;20,6
16109;Zináparo;21,4
16110;Zinapécuaro;25,8
16111;Ziracuaretiro;35,8
16112;Zitácuaro;29,8
16113;José Sixto Verduzco;23,6
17001;Amacuzac;23,4
17002;Atlatlahucan;20,1
17003;Axochiapan;32,1
17004;Ayala;23,7
17005;Coatlán del Río;28,6
17006;Cuautla;17,4
17007;Cuernavaca;8,2
17008;Emiliano Zapata;22,7
17009;Huitzilac;18,6
17010;Jantetelco;34,1
17011;Jiutepec;11,3
17012;Jojutla;16,6
17013;Jonacatepec;24,0
17014;Mazatepec;17,6
17015;Miacatlán;24,5
17016;Ocuituco;33,5
17017;Puente de Ixtla;27,9
17018;Temixco;21,5
17019;Tepalcingo;35,7
17020;Tepoztlán;12,1
17021;Tetecala;21,8
17022;Tetela del Volcán;29,3
17023;Tlalnepantla;29,7
17024;Tlaltizapán;19,3
17025;Tlaquiltenango;33,7
17026;Tlayacapan;20,1
17027;Totolapan;25,1
17028;Xochitepec;22,6
17029;Yautepec;18,2
17030;Yecapixtla;25,3
17031;Zacatepec de Hidalgo;10,4
17032;Zacualpan de Amilpas;31,7
17033;Temoac;34,8
18001;Acaponeta;25,4
18002;Ahuacatlán;13,9
18003;Amatlán de Cañas;19,1
18004;Compostela;19,4
18005;Huajicori;59,8
18006;Ixtlán del Río;21,9
