Clave del municipio;Municipio;pobalimentaria
18014;Santa María del Oro;18.4
18015;Santiago Ixcuintla;15.3
18016;Tecuala;14.4
18017;Tepic;9.6
18018;Tuxpan;17.3
18019;La Yesca;54.8
18020;Bahía de Banderas;6
19001;Abasolo;4.3
19002;Agualeguas;4.1
19003;Los Aldamas;6.9
19004;Allende;7.5
19005;Anáhuac;13.4
19006;Apodaca;6.7
19007;Aramberri;35.4
19008;Bustamante;5.9
19009;Cadereyta Jiménez;8.1
19010;Carmen;2.4
19011;Cerralvo;3.9
19012;Ciénega de Flores;5.8
19013;China;4.6
19014;Dr. Arroyo;37.6
19015;Dr. Coss;9.1
19016;Dr. González;6.2
19017;Galeana;24.8
19018;García;10.9
19019;San Pedro Garza García;5.5
19020;Gral. Bravo;5.1
19021;Gral. Escobedo;7.9
19022;Gral. Terán;5.2
19023;Gral. Treviño;5.4
19024;Gral. Zaragoza;42.7
19025;Gral. Zuazua;4.4
19026;Guadalupe;7.2
19027;Los Herreras;6.7
19028;Higueras;5.3
19029;Hualahuises;5.3
19030;Iturbide;23.8
19031;Juárez;8.6
19032;Lampazos de Naranjo;6.9
19033;Linares;11.4
19034;Marín;3.2
19035;Melchor Ocampo;4.1
19036;Mier y Noriega;49.7
19037;Mina;8
19038;Montemorelos;8.8
19039;Monterrey;7.6
19040;Parás;4.5
19041;Pesquería;4.8
19042;Los Ramones;8.6
19043;Rayones;24.8
19044;Sabinas Hidalgo;7.2
19045;Salinas Victoria;5.9
19046;San Nicolás de los Garza;3.7
19047;Hidalgo;11.1
19048;Santa Catarina;8.2
19049;Santiago;5.3
19050;Vallecillo;7.5
19051;Villaldama;4.6
20001;Abejones;56.9
20002;Acatlán de Pérez Figueroa;29
20003;Asunción Cacalotepec;52.1
20004;Asunción Cuyotepeji;30.4
20005;Asunción Ixtaltepec;17
20006;Asunción Nochixtlán;25.1
20007;Asunción Ocotlán;54.8
20008;Asunción Tlacolulita;35
20009;Ayotzintepec;50.6
20010;El Barrio de la Soledad;6.5
20011;Calihualá;54
20012;Candelaria Loxicha;63.1
20013;Ciénega de Zimatlán;19.1
20014;Ciudad Ixtepec;13.9
20015;Coatecas Altas;60.2
20016;Coicoyán de las Flores;82.7
20017;La Compañía;55.2
20018;Concepción Buenavista;44.2
20019;Concepción Pápalo;51.1
20020;Constancia del Rosario;59.7
20021;Cosolapa;21.2
20022;Cosoltepec;22.5
20023;Cuilápam de Guerrero;22.5
20024;Cuyamecalco Villa de Zaragoza;56.2
20025;Chahuites;27.3
20026;Chalcatongo de Hidalgo;38.6
20027;Chiquihuitlán de Benito Juárez;49.4
20028;Heroica Ciudad de Ejutla de Crespo;35.7
20029;Eloxochitlán de Flores Magón;63.6
20030;El Espinal;4.1
20031;Tamazulápam del Espíritu Santo;45.6
20032;Fresnillo de Trujano;35.9
20033;Guadalupe Etla;8.3
20034;Guadalupe de Ramírez;40.1
20035;Guelatao de Juárez;5.8
20036;Guevea de Humboldt;54.8
20037;Mesones Hidalgo;56.4
20038;Villa Hidalgo;35.6
20039;Heroica Ciudad de Huajuapan de León;16.5
20040;Huautepec;66
20041;Huautla de Jiménez;47.7
20042;Ixtlán de Juárez;41.4
20043;Juchitán de Zaragoza;21.6
20044;Loma Bonita;24.7
20045;Magdalena Apasco;8.1
20046;Magdalena Jaltepec;41.6
20047;Santa Magdalena Jicotlán;30.7
20048;Magdalena Mixtepec;75
20049;Magdalena Ocotlán;41.3
20050;Magdalena Peñasco;61.9
20051;Magdalena Teitipac;58.2
20052;Magdalena Tequisistlán;22.7
20053;Magdalena Tlacotepec;10.3
20054;Magdalena Zahuatlán;38.2
20055;Mariscala de Juárez;36.6
20056;Mártires de Tacubaya;48.7
20057;Matías Romero Avendaño;29.1
20058;Mazatlán Villa de Flores;61.7
20059;Miahuatlán de Porfirio Díaz;35.6
20060;Mixistlán de la Reforma;56.5
20061;Monjas;52.9
20062;Natividad;16.9
20063;Nazareno Etla;5.3
20064;Nejapa de Madero;40.7
20065;Ixpantepec Nieves;37.5
20066;Santiago Niltepec;24.6
20067;Oaxaca de Juárez;8.2
20068;Ocotlán de Morelos;28.5
20069;La Pe;60.9
20070;Pinotepa de Don Luis;45.9
20071;Pluma Hidalgo;55.7
20072;San José del Progreso;44.9
20073;Putla Villa de Guerrero;35.1
20074;Santa Catarina Quioquitani;64.4
20075;Reforma de Pineda;17.9
20076;La Reforma;48
20077;Reyes Etla;16.9
20078;Rojas de Cuauhtémoc;9.5
20079;Salina Cruz;9.8
20080;San Agustín Amatengo;34.3
20081;San Agustín Atenango;38.3
20082;San Agustín Chayuco;52.1
20083;San Agustín de las Juntas;12.9
20084;San Agustín Etla;3.3
20085;San Agustín Loxicha;70.1
20086;San Agustín Tlacotepec;31.3
20087;San Agustín Yatareni;22.9
20088;San Andrés Cabecera Nueva;63.8
20089;San Andrés Dinicuiti;32.3
20090;San Andrés Huaxpaltepec;32.8
20091;San Andrés Huayápam;4.6
20092;San Andrés Ixtlahuaca;25
20093;San Andrés Lagunas;39
20094;San Andrés Nuxiño;55
20095;San Andrés Paxtlán;60.6
20096;San Andrés Sinaxtla;14.2
20097;San Andrés Solaga;44.9
20098;San Andrés Teotilálpam;60.9
20099;San Andrés Tepetlapa;62.3
20100;San Andrés Yaá;30.5
20101;San Andrés Zabache;49.9
20102;San Andrés Zautla;16.3
20103;San Antonino Castillo Velasco;23.7
20104;San Antonino el Alto;59
20105;San Antonino Monte Verde;64.1
20106;San Antonio Acutla;31.8
20107;San Antonio de la Cal;17.9
20108;San Antonio Huitepec;60.9
20109;San Antonio Nanahuatípam;20.1
20110;San Antonio Sinicahua;61.9
20111;San Antonio Tepetlapa;63.5
20112;San Baltazar Chichicápam;31.6
20113;San Baltazar Loxicha;54
20114;San Baltazar Yatzachi el Bajo;34.1
20115;San Bartolo Coyotepec;5.8
20116;San Bartolomé Ayautla;67.9
20117;San Bartolomé Loxicha;62.3
20118;San Bartolomé Quialana;46.3
20119;San Bartolomé Yucuañe;42.3
20120;San Bartolomé Zoogocho;28
20121;San Bartolo Soyaltepec;32.4
20122;San Bartolo Yautepec;44
20123;San Bernardo Mixtepec;51.1
20124;San Blas Atempa;41.4
20125;San Carlos Yautepec;64.5
20126;San Cristóbal Amatlán;65.4
20127;San Cristóbal Amoltepec;62.2
20128;San Cristóbal Lachirioag;27.8
20129;San Cristóbal Suchixtlahuaca;22.2
20130;San Dionisio del Mar;45.5
20131;San Dionisio Ocotepec;53.4
20132;San Dionisio Ocotlán;22.2
20133;San Esteban Atatlahuca;59.8
20134;San Felipe Jalapa de Díaz;60.8
20135;San Felipe Tejalápam;38
20136;San Felipe Usila;64.9
20137;San Francisco Cahuacuá;66.1
20138;San Francisco Cajonos;24.9
20139;San Francisco Chapulapa;67.9
20140;San Francisco Chindúa;38
20141;San Francisco del Mar;38.8
20142;San Francisco Huehuetlán;48.5
20143;San Francisco Ixhuatán;33.6
20144;San Francisco Jaltepetongo;35.1
20145;San Francisco Lachigoló;15.5
20146;San Francisco Logueche;66.3
20147;San Francisco Nuxaño;39.4
20148;San Francisco Ozolotepec;63.3
20149;San Francisco Sola;54.4
20150;San Francisco Telixtlahuaca;17.4
20151;San Francisco Teopan;53.4
20152;San Francisco Tlapancingo;63
20153;San Gabriel Mixtepec;45.2
20154;San Ildefonso Amatlán;60.2
20155;San Ildefonso Sola;63.4
20156;San Ildefonso Villa Alta;34.6
20157;San Jacinto Amilpas;4.7
20158;San Jacinto Tlacotepec;67.5
20159;San Jerónimo Coatlán;66.3
20160;San Jerónimo Silacayoapilla;29.4
20161;San Jerónimo Sosola;45.4
20162;San Jerónimo Taviche;51.2
20163;San Jerónimo Tecóatl;47.6
20164;San Jorge Nuchita;52.9
20165;San José Ayuquila;42.4
20166;San José Chiltepec;28.3
20167;San José del Peñasco;50.8
20168;San José Estancia Grande;45.8
20169;San José Independencia;63.1
20170;San José Lachiguiri;70.5
20171;San José Tenango;66.7
20172;San Juan Achiutla;26.3
20173;San Juan Atepec;37
20174;Ánimas Trujano;5.6
20175;San Juan Bautista Atatlahuca;56.5
20176;San Juan Bautista Coixtlahuaca;42.2
20177;San Juan Bautista Cuicatlán;35.1
20178;San Juan Bautista Guelache;12.1
20179;San Juan Bautista Jayacatlán;51.9
20180;San Juan Bautista Lo de Soto;39.7
20181;San Juan Bautista Suchitepec;33.9
20182;San Juan Bautista Tlacoatzintepec;65.9
20183;San Juan Bautista Tlachichilco;62.4
20184;San Juan Bautista Tuxtepec;27.5
20185;San Juan Cacahuatepec;37.1
20186;San Juan Cieneguilla;42.5
20187;San Juan Coatzóspam;58.4
20188;San Juan Colorado;56.9
20189;San Juan Comaltepec;72.4
20190;San Juan Cotzocón;44
20191;San Juan Chicomezúchil;21.6
20192;San Juan Chilateca;7.7
20193;San Juan del Estado;24.5
20194;San Juan del Río;30.7
20195;San Juan Diuxi;43.4
20196;San Juan Evangelista Analco;33
20197;San Juan Guelavía;26.1
20198;San Juan Guichicovi;44.5
20199;San Juan Ihualtepec;55.9
20200;San Juan Juquila Mixes;57.6
20201;San Juan Juquila Vijanos;59.3
20202;San Juan Lachao;58.3
20203;San Juan Lachigalla;69.3
20204;San Juan Lajarcia;41
20205;San Juan Lalana;61.5
20206;San Juan de los Cués;40.1
20207;San Juan Mazatlán;56.4
20208;San Juan Mixtepec - Dto. 08 -;41.7
20209;San Juan Mixtepec - Dto. 26 -;42.5
20210;San Juan Ñumí;64.4
20211;San Juan Ozolotepec;69.2
20212;San Juan Petlapa;79.9
20213;San Juan Quiahije;69.9
20214;San Juan Quiotepec;51.5
20215;San Juan Sayultepec;23.6
20216;San Juan Tabaá;50
20217;San Juan Tamazola;67
20218;San Juan Teita;62.5
20219;San Juan Teitipac;39.8
20220;San Juan Tepeuxila;54.9
20221;San Juan Teposcolula;35.8
20222;San Juan Yaeé;44.7
20223;San Juan Yatzona;49.4
20224;San Juan Yucuita;23.1
20225;San Lorenzo;58
20226;San Lorenzo Albarradas;44.3
20227;San Lorenzo Cacaotepec;9.2
20228;San Lorenzo Cuaunecuiltitla;66.4
20229;San Lorenzo Texmelúcan;78
20230;San Lorenzo Victoria;35.6
20231;San Lucas Camotlán;70.3
20232;San Lucas Ojitlán;63.2
20233;San Lucas Quiaviní;39.9
20234;San Lucas Zoquiápam;62
20235;San Luis Amatlán;48.3
20236;San Marcial Ozolotepec;68
20237;San Marcos Arteaga;32.8
20238;San Martín de los Cansecos;48.7
20239;San Martín Huamelúlpam;32.3
20240;San Martín Itunyoso;69.2
20241;San Martín Lachilá;42
20242;San Martín Peras;81.6
20243;San Martín Tilcajete;24.7
20244;San Martín Toxpalan;41.8
20245;San Martín Zacatepec;38.3
20246;San Mateo Cajonos;43
20247;Capulálpam de Méndez;11.9
20248;San Mateo del Mar;52.5
20249;San Mateo Yoloxochitlán;50.7
20250;San Mateo Etlatongo;35.6
20251;San Mateo Nejápam;63.8
20252;San Mateo Peñasco;49.4
20253;San Mateo Piñas;54.1
20254;San Mateo Río Hondo;52.1
20255;San Mateo Sindihui;63.9
20256;San Mateo Tlapiltepec;38.4
20257;San Melchor Betaza;54.3
20258;San Miguel Achiutla;38.5
20259;San Miguel Ahuehuetitlán;67.8
20260;San Miguel Aloápam;54.5
20261;San Miguel Amatitlán;59.9
20262;San Miguel Amatlán;40.1
20263;San Miguel Coatlán;67.9
20264;San Miguel Chicahua;53.7
20265;San Miguel Chimalapa;44
20266;San Miguel del Puerto;52.9
20267;San Miguel del Río;38.6
20268;San Miguel Ejutla;32.3
20269;San Miguel el Grande;35.4
20270;San Miguel Huautla;62.5
20271;San Miguel Mixtepec;75.5
20272;San Miguel Panixtlahuaca;64.3
20273;San Miguel Peras;69.5
20274;San Miguel Piedras;67.9
20275;San Miguel Quetzaltepec;54.6
20276;San Miguel Santa Flor;56.6
20277;Villa Sola de Vega;62.9
20278;San Miguel Soyaltepec;51.4
20279;San Miguel Suchixtepec;48.3
20280;Villa Talea de Castro;32.5
20281;San Miguel Tecomatlán;21.5
20282;San Miguel Tenango;54.1
20283;San Miguel Tequixtepec;39.3
20284;San Miguel Tilquiápam;64.2
20285;San Miguel Tlacamama;44.7
20286;San Miguel Tlacotepec;40.4
20287;San Miguel Tulancingo;27.5
20288;San Miguel Yotao;60.9
20289;San Nicolás;36
20290;San Nicolás Hidalgo;43.1
20291;San Pablo Coatlán;63.4
20292;San Pablo Cuatro Venados;69.4
20293;San Pablo Etla;3.8
20294;San Pablo Huitzo;11.6
20295;San Pablo Huixtepec;19.6
20296;San Pablo Macuiltianguis;31.9
20297;San Pablo Tijaltepec;67.8
20298;San Pablo Villa de Mitla;29
20299;San Pablo Yaganiza;38.4
20300;San Pedro Amuzgos;56.3
20301;San Pedro Apóstol;24
20302;San Pedro Atoyac;61.7
20303;San Pedro Cajonos;36.2
20304;San Pedro Coxcaltepec Cántaros;54.9
20305;San Pedro Comitancillo;6.7
20306;San Pedro el Alto;58.6
20307;San Pedro Huamelula;32.7
20308;San Pedro Huilotepec;24.3
20309;San Pedro Ixcatlán;61.3
20310;San Pedro Ixtlahuaca;24.6
20311;San Pedro Jaltepetongo;50
20312;San Pedro Jicayán;55.5
20313;San Pedro Jocotipac;43.9
20314;San Pedro Juchatengo;35.4
20315;San Pedro Mártir;57
20316;San Pedro Mártir Quiechapa;60.5
20317;San Pedro Mártir Yucuxaco;45.5
20318;San Pedro Mixtepec - Dto. 22 -;27.4
20319;San Pedro Mixtepec - Dto. 26 -;49.6
20320;San Pedro Molinos;41.3
20321;San Pedro Nopala;58.8
20322;San Pedro Ocopetatillo;59.5
20323;San Pedro Ocotepec;67.4
20324;San Pedro Pochutla;31.3
20325;San Pedro Quiatoni;63.4
20326;San Pedro Sochiápam;65.9
20327;San Pedro Tapanatepec;24.3
20328;San Pedro Taviche;59.1
20329;San Pedro Teozacoalco;54.2
20330;San Pedro Teutila;60.6
20331;San Pedro Tidaá;42.5
20332;San Pedro Topiltepec;37.2
20333;San Pedro Totolapa;23
20334;Villa de Tututepec de Melchor Ocampo;35.2
20335;San Pedro Yaneri;61.1
20336;San Pedro Yólox;51.4
20337;San Pedro y San Pablo Ayutla;53.2
20338;Villa de Etla;7.1
20339;San Pedro y San Pablo Teposcolula;19.4
20340;San Pedro y San Pablo Tequixtepec;34.5
20341;San Pedro Yucunama;34.6
20342;San Raymundo Jalpan;18
20343;San Sebastián Abasolo;33.9
20344;San Sebastián Coatlán;54.8
20345;San Sebastián Ixcapa;41
20346;San Sebastián Nicananduta;38.2
20347;San Sebastián Río Hondo;60.9
20348;San Sebastián Tecomaxtlahuaca;41.5
20349;San Sebastián Teitipac;35.9
20350;San Sebastián Tutla;1
20351;San Simón Almolongas;45.1
20352;San Simón Zahuatlán;78.6
20353;Santa Ana;53
20354;Santa Ana Ateixtlahuaca;64.8
20355;Santa Ana Cuauhtémoc;57
20356;Santa Ana del Valle;28.9
20357;Santa Ana Tavela;43.2
20358;Santa Ana Tlapacoyan;33.8
20359;Santa Ana Yareni;41.9
20360;Santa Ana Zegache;43.2
20361;Santa Catalina Quierí;62.2
20362;Santa Catarina Cuixtla;31.1
20363;Santa Catarina Ixtepeji;30.1
20364;Santa Catarina Juquila;35.9
20365;Santa Catarina Lachatao;42.4
20366;Santa Catarina Loxicha;67.8
20367;Santa Catarina Mechoacán;57.6
20368;Santa Catarina Minas;39.2
20369;Santa Catarina Quiané;24.4
20370;Santa Catarina Tayata;35.6
20371;Santa Catarina Ticuá;36.3
20372;Santa Catarina Yosonotú;43.6
20373;Santa Catarina Zapoquila;50.1
20374;Santa Cruz Acatepec;59.1
20375;Santa Cruz Amilpas;4.1
20376;Santa Cruz de Bravo;38.5
20377;Santa Cruz Itundujia;69.6
20378;Santa Cruz Mixtepec;43.5
20379;Santa Cruz Nundaco;59.2
20380;Santa Cruz Papalutla;32.2
20381;Santa Cruz Tacache de Mina;33.6
20382;Santa Cruz Tacahua;62.1
20383;Santa Cruz Tayata;44.7
20384;Santa Cruz Xitla;55.4
20385;Santa Cruz Xoxocotlán;12.5
20386;Santa Cruz Zenzontepec;74.2
20387;Santa Gertrudis;29
20388;Santa Inés del Monte;67
20389;Santa Inés Yatzeche;46
20390;Santa Lucía del Camino;10.1
20391;Santa Lucía Miahuatlán;74.2
20392;Santa Lucía Monteverde;63.9
20393;Santa Lucía Ocotlán;49.3
20394;Santa María Alotepec;51.6
20395;Santa María Apazco;59.5
20396;Santa María la Asunción;63.3
20397;Heroica Ciudad de Tlaxiaco;18
20398;Ayoquezco de Aldama;37.5
20399;Santa María Atzompa;14.5
20400;Santa María Camotlán;24.7
20401;Santa María Colotepec;28.4
20402;Santa María Cortijo;46
20403;Santa María Coyotepec;11.6
20404;Santa María Chachoápam;27.9
20405;Villa de Chilapa de Díaz;36
20406;Santa María Chilchotla;66.3
20407;Santa María Chimalapa;62.3
20408;Santa María del Rosario;36.6
20409;Santa María del Tule;2.3
20410;Santa María Ecatepec;47
20411;Santa María Guelacé;23.2
20412;Santa María Guienagati;58.9
20413;Santa María Huatulco;20.4
20414;Santa María Huazolotitlán;33.5
20415;Santa María Ipalapa;50.7
20416;Santa María Ixcatlán;40.8
20417;Santa María Jacatepec;49.6
20418;Santa María Jalapa del Marqués;22.5
20419;Santa María Jaltianguis;25.7
20420;Santa María Lachixío;64.2
20421;Santa María Mixtequilla;18.4
20422;Santa María Nativitas;38.2
20423;Santa María Nduayaco;37.8
20424;Santa María Ozolotepec;62.2
20425;Santa María Pápalo;64
20426;Santa María Peñoles;75.5
20427;Santa María Petapa;23.4
20428;Santa María Quiegolani;65
20429;Santa María Sola;57.6
20430;Santa María Tataltepec;45.8
20431;Santa María Tecomavaca;34
20432;Santa María Temaxcalapa;39.7
20433;Santa María Temaxcaltepec;69
20434;Santa María Teopoxco;64.9
20435;Santa María Tepantlali;57.5
20436;Santa María Texcatitlán;45.6
20437;Santa María Tlahuitoltepec;50.1
20438;Santa María Tlalixtac;58.2
20439;Santa María Tonameca;57
20440;Santa María Totolapilla;36
20441;Santa María Xadani;35.8
20442;Santa María Yalina;40.9
20443;Santa María Yavesía;35.3
20444;Santa María Yolotepec;65.6
20445;Santa María Yosoyúa;57.6
20446;Santa María Yucuhiti;52.7
20447;Santa María Zacatepec;49.8
20448;Santa María Zaniza;78.9
20449;Santa María Zoquitlán;46
20450;Santiago Amoltepec;80.6
20451;Santiago Apoala;52.7
20452;Santiago Apóstol;44.3
20453;Santiago Astata;32.8
20454;Santiago Atitlán;62.4
20455;Santiago Ayuquililla;45.6
20456;Santiago Cacaloxtepec;28.5
20457;Santiago Camotlán;67.7
20458;Santiago Comaltepec;39
20459;Santiago Chazumba;28.3
20460;Santiago Choápam;61.7
20461;Santiago del Río;43.2
20462;Santiago Huajolotitlán;22.4
20463;Santiago Huauclilla;38.6
20464;Santiago Ihuitlán Plumas;37.9
20465;Santiago Ixcuintepec;66.1
20466;Santiago Ixtayutla;73.5
20467;Santiago Jamiltepec;33.6
20468;Santiago Jocotepec;63.6
20469;Santiago Juxtlahuaca;57.4
20470;Santiago Lachiguiri;45.6
20471;Santiago Lalopa;49.5
20472;Santiago Laollaga;19.6
20473;Santiago Laxopa;49.4
20474;Santiago Llano Grande;38.3
20475;Santiago Matatlán;43.2
20476;Santiago Miltepec;28.4
20477;Santiago Minas;58.9
20478;Santiago Nacaltepec;41.8
20479;Santiago Nejapilla;40.9
20480;Santiago Nundiche;51.4
20481;Santiago Nuyoó;52.9
20482;Santiago Pinotepa Nacional;33.1
20483;Santiago Suchilquitongo;22.2
20484;Santiago Tamazola;50.6
20485;Santiago Tapextla;65.8
20486;Villa Tejúpam de la Unión;30.1
20487;Santiago Tenango;37.9
20488;Santiago Tepetlapa;28.6
20489;Santiago Tetepec;60.8
20490;Santiago Texcalcingo;63.3
20491;Santiago Textitlán;72.7
20492;Santiago Tilantongo;50
20493;Santiago Tillo;21.1
20494;Santiago Tlazoyaltepec;73.1
20495;Santiago Xanica;60.8
20496;Santiago Xiacuí;24.3
20497;Santiago Yaitepec;62.6
20498;Santiago Yaveo;51.5
20499;Santiago Yolomécatl;19
20500;Santiago Yosondúa;45.6
20501;Santiago Yucuyachi;41.3
20502;Santiago Zacatepec;62.4
20503;Santiago Zoochila;42.4
20504;Nuevo Zoquiápam;45.6
20505;Santo Domingo Ingenio;12.7
20506;Santo Domingo Albarradas;41.5
20507;Santo Domingo Armenta;54.6
20508;Santo Domingo Chihuitán;15.9
20509;Santo Domingo de Morelos;70.4
20510;Santo Domingo Ixcatlán;56.3
20511;Santo Domingo Nuxaá;72.2
20512;Santo Domingo Ozolotepec;63.8
20513;Santo Domingo Petapa;38.6
20514;Santo Domingo Roayaga;64.5
20515;Santo Domingo Tehuantepec;21.7
20516;Santo Domingo Teojomulco;61.3
20517;Santo Domingo Tepuxtepec;68.3
20518;Santo Domingo Tlatayápam;23.9
20519;Santo Domingo Tomaltepec;17.8
20520;Santo Domingo Tonalá;31
20521;Santo Domingo Tonaltepec;40.8
20522;Santo Domingo Xagacía;57.2
20523;Santo Domingo Yanhuitlán;24.2
20524;Santo Domingo Yodohino;36.1
20525;Santo Domingo Zanatepec;28.7
20526;Santos Reyes Nopala;52.5
20527;Santos Reyes Pápalo;67.5
20528;Santos Reyes Tepejillo;30.1
20529;Santos Reyes Yucuná;77.4
20530;Santo Tomás Jalieza;46.5
20531;Santo Tomás Mazaltepec;31.1
20532;Santo Tomás Ocotepec;61.2
20533;Santo Tomás Tamazulapan;31.3
20534;San Vicente Coatlán;68.6
20535;San Vicente Lachixío;72.6
20536;San Vicente Nuñú;30.3
20537;Silacayoápam;41.6
20538;Sitio de Xitlapehua;50
20539;Soledad Etla;10.2
20540;Villa de Tamazulápam del Progreso;16.6
20541;Tanetze de Zaragoza;45.8
20542;Taniche;41.8
20543;Tataltepec de Valdés;65.2
20544;Teococuilco de Marcos Pérez;42.2
20545;Teotitlán de Flores Magón;20.2
20546;Teotitlán del Valle;30.4
20547;Teotongo;29.5
20548;Tepelmeme Villa de Morelos;35.8
20549;Tezoatlán de Segura y Luna;38.4
20550;San Jerónimo Tlacochahuaya;20.5
20551;Tlacolula de Matamoros;15.6
20552;Tlacotepec Plumas;40.3
20553;Tlalixtac de Cabrera;17.5
20554;Totontepec Villa de Morelos;59.1
20555;Trinidad Zaachila;36.5
20556;La Trinidad Vista Hermosa;40.3
20557;Unión Hidalgo;16
20558;Valerio Trujano;29.6
20559;San Juan Bautista Valle Nacional;44.7
20560;Villa Díaz Ordaz;44.4
20561;Yaxe;55
20562;Magdalena Yodocono de Porfirio Díaz;35.9
20563;Yogana;45.1
20564;Yutanduchi de Guerrero;53.4
20565;Villa de Zaachila;21.5
20566;Zapotitlán del Río;61.7
20567;Zapotitlán Lagunas;50.7
20568;Zapotitlán Palmas;34.2
20569;Santa Inés de Zaragoza;49
20570;Zimatlán de Álvarez;28.4
21001;Acajete;39.4
21002;Acateno;34.8
21003;Acatlán;32.3
21004;Acatzingo;37.9
21005;Acteopan;42.6
21006;Ahuacatlán;57.4
21007;Ahuatlán;49.4
21008;Ahuazotepec;26.4
21009;Ahuehuetitla;29.2
21010;Ajalpan;60.6
21011;Albino Zertuche;41.4
21012;Aljojuca;40.8
21013;Altepexi;38.2
21014;Amixtlán;54.1
21015;Amozoc;28.7
21016;Aquixtla;39.3
21017;Atempan;47.4
21018;Atexcal;43.7
21019;Atlixco;24.8
21020;Atoyatempan;31.9
21021;Atzala;23.9
21022;Atzitzihuacán;48.7
21023;Atzitzintla;59.4
21024;Axutla;31.2
21025;Ayotoxco de Guerrero;38.2
21026;Calpan;35.3
21027;Caltepec;45.7
21028;Camocuautla;59.8
21029;Caxhuacan;43.5
21030;Coatepec;50
21031;Coatzingo;38.5
21032;Cohetzala;44.1
21033;Cohuecan;43.4
21034;Coronango;24
21035;Coxcatlán;29.6
21036;Coyomeapan;69.4
21037;Coyotepec;23.5
21038;Cuapiaxtla de Madero;28.3
21039;Cuautempan;49.9
21040;Cuautinchán;37.9
21041;Cuautlancingo;11.2
21042;Cuayuca de Andrade;42.9
21043;Cuetzalan del Progreso;53.9
21044;Cuyoaco;36.5
21045;Chalchicomula de Sesma;41.7
21046;Chapulco;33.2
21047;Chiautla;25.8
21048;Chiautzingo;33.5
21049;Chiconcuautla;68.7
21050;Chichiquila;69.6
21051;Chietla;17.6
21052;Chigmecatitlán;27.2
21053;Chignahuapan;34.3
21054;Chignautla;37.5
21055;Chila;38.1
21056;Chila de la Sal;35
21057;Honey;44.3
21058;Chilchotla;62.2
21059;Chinantla;29.5
21060;Domingo Arenas;45.1
21061;Eloxochitlán;69.9
21062;Epatlán;32
21063;Esperanza;31.4
21064;Francisco Z. Mena;39.1
21065;General Felipe Ángeles;41.2
21066;Guadalupe;42.7
21067;Guadalupe Victoria;39.1
21068;Hermenegildo Galeana;56.2
21069;Huaquechula;40.5
21070;Huatlatlauca;45.2
21071;Huauchinango;39
21072;Huehuetla;62
21073;Huehuetlán el Chico;33.6
21074;Huejotzingo;25.3
21075;Hueyapan;52.3
21076;Hueytamalco;41.7
21077;Hueytlalpan;62.3
21078;Huitzilan de Serdán;64.5
21079;Huitziltepec;31.1
21080;Atlequizayán;56.2
21081;Ixcamilpa de Guerrero;53.7
21082;Ixcaquixtla;23.4
21083;Ixtacamaxtitlán;52.3
21084;Ixtepec;59.1
21085;Izúcar de Matamoros;30.7
21086;Jalpan;51.5
21087;Jolalpan;54.2
21088;Jonotla;45.1
21089;Jopala;54.8
21090;Juan C. Bonilla;25.8
21091;Juan Galindo;12.3
21092;Juan N. Méndez;52
21093;Lafragua;46.2
21094;Libres;41.6
21095;La Magdalena Tlatlauquitepec;40.7
21096;Mazapiltepec de Juárez;38.6
21097;Mixtla;20.6
21098;Molcaxac;40.7
21099;Cañada Morelos;45.4
21100;Naupan;55.6
21101;Nauzontla;33.9
21102;Nealtican;34.1
21103;Nicolás Bravo;34.5
21104;Nopalucan;32.4
21105;Ocotepec;38.2
21106;Ocoyucan;42.9
21107;Olintla;61.8
21108;Oriental;26.7
21109;Pahuatlán;53.8
21110;Palmar de Bravo;48.1
21111;Pantepec;49
21112;Petlalcingo;40.2
21113;Piaxtla;31.1
21114;Puebla;12.5
21115;Quecholac;47.6
21116;Quimixtlán;67.9
21117;Rafael Lara Grajales;15.3
21118;Los Reyes de Juárez;41.5
21119;San Andrés Cholula;27.9
21120;San Antonio Cañada;54.4
21121;San Diego la Mesa Tochimiltzingo;48.5
21122;San Felipe Teotlalcingo;28
21123;San Felipe Tepatlán;58.1
21124;San Gabriel Chilac;32.2
21125;San Gregorio Atzompa;11.4
21126;San Jerónimo Tecuanipan;38.3
21127;San Jerónimo Xayacatlán;35.7
21128;San José Chiapa;30
21129;San José Miahuatlán;35.5
21130;San Juan Atenco;33.8
21131;San Juan Atzompa;36
21132;San Martín Texmelucan;19.4
21133;San Martín Totoltepec;32.3
21134;San Matías Tlalancaleca;20.7
21135;San Miguel Ixitlán;33.2
21136;San Miguel Xoxtla;5
21137;San Nicolás Buenos Aires;42.4
21138;San Nicolás de los Ranchos;47.2
21139;San Pablo Anicano;37.6
21140;San Pedro Cholula;20.4
21141;San Pedro Yeloixtlahuaca;32.7
21142;San Salvador el Seco;38.7
21143;San Salvador el Verde;27.9
21144;San Salvador Huixcolotla;24.3
21145;San Sebastián Tlacotepec;68.6
21146;Santa Catarina Tlaltempan;33.5
21147;Santa Inés Ahuatempan;44.4
21148;Santa Isabel Cholula;38.7
21149;Santiago Miahuatlán;23.9
21150;Huehuetlán el Grande;49.9
21151;Santo Tomás Hueyotlipan;23.7
21152;Soltepec;39.9
21153;Tecali de Herrera;23.4
21154;Tecamachalco;31.5
21155;Tecomatlán;25.2
21156;Tehuacán;29.3
